scientific name,sort v2021
Anas chlorotis,576.0
Malacorhynchus membranaceus,581.0
Marmaronetta angustirostris,582.0
Rhodonessa caryophyllacea,583.0
Asarcornis scutulata,584.0
Netta rufina,585.0
Netta erythrophthalma,587.0
Netta erythrophthalma erythrophthalma,588.0
Netta erythrophthalma brunnea,589.0
Netta peposaca,590.0
Aythya valisineria,591.0
Aythya americana,592.0
Aythya ferina,595.0
Aythya collaris,597.0
Aythya nyroca,600.0
Aythya innotata,603.0
Aythya baeri,604.0
Aythya australis,607.0
Aythya fuligula,609.0
Aythya novaeseelandiae,615.0
Aythya marila,616.0
Aythya marila marila,617.0
Aythya marila nearctica,618.0
Aythya affinis,622.0
Polysticta stelleri,632.0
Camptorhynchus labradorius,648.0
Somateria fischeri,633.0
Somateria spectabilis,634.0
Somateria mollissima,636.0
Somateria mollissima mollissima,637.0
Somateria mollissima faeroeensis,638.0
Somateria mollissima v-nigrum,639.0
Somateria mollissima dresseri,640.0
Somateria mollissima borealis,641.0
Somateria mollissima sedentaria,642.0
Histrionicus histrionicus,647.0
Melanitta perspicillata,649.0
Melanitta fusca,650.0
Melanitta deglandi,651.0
Melanitta stejnegeri,652.0
Melanitta nigra,656.0
Melanitta americana,657.0
Clangula hyemalis,661.0
Bucephala albeola,662.0
Bucephala clangula,663.0
Bucephala clangula clangula,664.0
Bucephala clangula americana,665.0
Bucephala islandica,668.0
Mergellus albellus,671.0
Lophodytes cucullatus,673.0
Mergus australis,680.0
Mergus merganser,681.0
Mergus merganser merganser/orientalis,682.0
Mergus merganser merganser,683.0
Mergus merganser orientalis,684.0
Mergus merganser americanus,685.0
Mergus octosetaceus,688.0
Mergus serrator,689.0
Mergus squamatus,693.0
Heteronetta atricapilla,695.0
Nomonyx dominicus,696.0
Oxyura jamaicensis,697.0
Oxyura ferruginea,698.0
Oxyura ferruginea andina,699.0
Oxyura ferruginea ferruginea,700.0
Oxyura leucocephala,702.0
Oxyura maccoa,704.0
Oxyura vittata,705.0
Oxyura australis,707.0
Biziura lobata,708.0
Biziura lobata lobata,709.0
Biziura lobata menziesi,710.0
Alectura lathami,713.0
Alectura lathami purpureicollis,714.0
Alectura lathami lathami,715.0
Aepypodius arfakianus,716.0
Aepypodius arfakianus arfakianus,717.0
Aepypodius arfakianus misoliensis,718.0
Aepypodius bruijnii,719.0
Talegalla cuvieri,720.0
Talegalla cuvieri cuvieri,721.0
Talegalla cuvieri granti,722.0
Talegalla fuscirostris,723.0
Talegalla fuscirostris meyeri,724.0
Talegalla fuscirostris aruensis,725.0
Talegalla fuscirostris occidentis,726.0
Talegalla fuscirostris fuscirostris,727.0
Talegalla jobiensis,728.0
Talegalla jobiensis jobiensis,729.0
Talegalla jobiensis longicaudus,730.0
Leipoa ocellata,732.0
Macrocephalon maleo,733.0
Eulipoa wallacei,734.0
Megapodius pritchardii,735.0
Megapodius laperouse,736.0
Megapodius laperouse laperouse,737.0
Megapodius laperouse senex,738.0
Megapodius nicobariensis,739.0
Megapodius nicobariensis nicobariensis,740.0
Megapodius nicobariensis abbotti,741.0
Megapodius cumingii,742.0
Megapodius cumingii dillwyni,743.0
Megapodius cumingii pusillus,744.0
Megapodius cumingii cumingii,745.0
